label	query	result_rows	sha256
deltamerge-large-s0	01_scan_agg_distinct	1	ebf45df6c811b7068892919eb0e85845caa82c6bddac5dde4f112a502c40eeeb
deltamerge-large-s0	02_scan_agg_json	1	606207006bea4801a588030b95ca525323ccaa5a04534c39ea0237d15253f089
deltamerge-large-s0	03_large_in_group_by	32	f27cbbe84705e853779ec09322be298e3c5bf45a8bd2a37823615f442a8165ef
deltamerge-large-s0	04_wide_topn	100	2929f28865128cf489e775b7118684b4c45ee40ae4cb258581637760ebffdf22
deltamerge-large-s0	05_row_number_paging	1000	aac59737aaa6f22375a64d9254e6d21b1ceaf95b1f2c4082acaab14e6123d2f1
deltamerge-large-s0	06_hot_window_agg	1	18ea968906a01ccfa5b4598204be730f48f10e6d00bf0170bd6d7d8afd0bdc51
deltamerge-large-s0	07_hot_window_topn	100	4ba3152afab286b5f64255ba686a30a1614f9a804e8c54e0109062c2377a819b
deltamerge-large-s0	08_or_lookup	6	7123148761098ec2dbbdc541d0022f560e77fbbc24c92127a86526178413c73d
deltamerge-large-s0	09_pushdown_filter_base	4	aa0025de98bb2469ed6dacac6b9972d1f9a7d988c3124f8de4f8788e1cf15bf5
deltamerge-large-s0	10_pushdown_filter_derived	4	aa0025de98bb2469ed6dacac6b9972d1f9a7d988c3124f8de4f8788e1cf15bf5
deltamerge-large-s0	11_late_materialization_narrow_topn	200	b26747db2b2073373d902d237f52c469965682535a3e216a56ec3df741fd725f
deltamerge-large-s0	12_late_materialization_wide_topn	200	de3fa58537c21ae5fcaeb8a74a0211980c90d36a689a975e3f5d4bb70d076fe4
